,,,,,,,,,,,,,,,,,
1,Name of kriya,,Steps,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,,
102,Cure For Stiff Knees & Knee Pain,,"1. PADMA ASANA
2. NAAGA KUMBHAKA
3. BHRAAMAREE KUMBHAKA
4. KUMUDA KUMBHAKA","1. PADMA ASANA
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth","2. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","3. BHRAAMAREE KUMBHAKA
1. Inhale rapidly with the sound ‘mmm’ of a bee
2. Hold 
3. Exhale steadily and slowly with the sound of a ‘mmm’ of a bee
4. Do this 21 times","4. KUMUDA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath
3. Exhale through both the nostrils
4. Repeat this 21 times",,,,,,,,,,
103,Care For Thyroid Problems,,"1. PHODYASANA
2. JAALANDHARA BANDHA
3. TRISHOOLA KUMBHAKA
4. NAAGA KUMBHAKA
5. TRINETRA KUMBHAKA","1. PHODYASANA
1. Be seated with legs stretched on the ground
2. Slowly raise the legs upward by catching hold of calves with two hands.
3. By contracting the abdomen, raise the head upwards towards the knees
4. Remain in this posture for 30 seconds","2. JAALANDHARA BANDHA
1. Remain in same asana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Fix the Gaze at the tip of the nose
5. Hold as long as possible judiciously
6. Release the throat lock and exhale slowly, when you feel you can’t hold anymore
7. Do this 21 times","3. TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 21 times","4. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","5. TRINETRA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",,,,,,,,,
104,Cure For Thyroid Problems,,"1. SIMHAASANA
2. JAALANDHARA BANDHA
3. TRISHOOLA KUMBHAKA
4. NAAGA KUMBHAKA
5. TRINETRA KUMBHAKA","1. SIMHAASANA
1. Be seated in the kneel-down pose
2. Cross the ankles and place them under the perineum
3. Place the hands on the knees
4. Spread out fingers
5. Place the chin on the throat and contract the throat
6. Open the mouth widely sticking the tongue
7. Gaze at the tip of the nose.
8. Remain in this posture for 30seconds","2. JAALANDHARA BANDHA
1. Remain in same asana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Fix the Gaze at the tip of the nose
5. Hold as long as possible judiciously
6. Release the throat lock and exhale slowly, when you feel you can’t hold anymore
7. Do this 21 times","3. TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 21 times","4. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","5. TRINETRA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",,,,,,,,,
105,Care For Tinnitus,,"1. ANASOOYA ASANA
2. BHRAAMAREE KUMBHAKA","1. ANASOOYA ASANA
1. Place one knee above the other
2. Hold the hands from the back
3. Bend down to touch the nose on the ground
4. Gaze at the tip of the nose
5. Remain in this pose 30 seconds","2. BHRAAMAREE KUMBHAKA
1. Inhale rapidly with the sound ‘mmm’ of a bee
2. Hold 
3. Exhale steadily and slowly with the sound of a ‘mmm’ of a bee
4. Do this 21 times",,,,,,,,,,,,
106,Cure For Tinnitus,,"1. ANDHAASANA
2. BHRAAMAREE KUMBHAKA","1. ANDHAASANA
1. Sit in a squatting position
2. Direct the knees forward
3. Bend forward
4. Lower the head in between the knees
5. Keep the elbows adjacent to the knees
6. Hold the head with your hands
7. Exhale completely through mouth 
8. Practice Mula Bandha– i.e., the practitioner should press with left heel between the anus and 
scrotum. And then contract the anus. 
9. Remain in this pose 30 seconds
10. Release Mulabandha","2. BHRAAMAREE KUMBHAKA
1. Inhale rapidly with the sound ‘mmm’ of a bee
2. Hold 
3. Exhale steadily and slowly with the sound of a ‘mmm’ of a bee
4. Do this 21 times",,,,,,,,,,,,
107,Care For Ulcerative Colitis And Crohn's Disease,,"1. DURVAASA ASANA
2. BHASTRIKAA KUMBHAKA
3. TRISHOOLA KUMBHAKA
4. TRINETRA KUMBHAKA","1. DURVAASA ASANA 
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 seconds","2. BHASTRIKAA KUMBHAKA 
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this continuously for 7 minutes","3. TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this for 7 minutes","4. TRINETRA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",,,,,,,,,,
108,Cure For Ulcerative Colitis And Crohn's Disease,,"1. VAJRA ASANA
2. BHASTRIKAA KUMBHAKA
3. TRISHOOLA KUMBHAKA
4. TRINETRA KUMBHAKA","1. VAJRA ASANA
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds","2. BHASTRIKAA KUMBHAKA 
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this continuously for 7 minutes","3. TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this for 7 minutes","4. TRINETRA KUMBHAKA
1. Inhale through the left nostril
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",,,,,,,,,,
109,Care For Urinary Problems,,"1. PADMA ASANA
2. SVANGA SHRUNKALA KUMBHAKA
3. PLAAVINEE KUMBHAKA
4. MOORCCHANA","1. PADMA ASANA
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth","2. SVANGA SHRUNKALA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as possible
3. When you can not hold any more, allow the body to inhale by itself.
4. Again exhale and hold the breath
5. Hold the breath outside as long as possible.
6. Do this 21 times","3. PLAAVINEE KUMBHAKA 
1. Stay on same posture
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
6. Do this 21 times","4. MOORCCHANA
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately Do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Hold the breath as long as you can. 
5. When you can't hold anymore, Exhale through both nostrils in a very controlled manner in 
Jaalandhara bandha itself
6. Do this 21 times",,,,,,,,,,
110,Cure For Urinary Problems,,"1. VAJRA ASANA
2. SVANGA SHRUNKHALA KUMBHAKA
3. PLAAVINEE KUMBHAKA
4. MOORCCHANAA KUMBHAKA","1. VAJRA ASANA
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds","2. SVANGA SHRUNKALA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as possible
3. When you can not hold any more, allow the body to inhale by itself.
4. Again exhale and hold the breath
5. Hold the breath outside as long as possible.
6. Do this 21 times","3. PLAAVINEE KUMBHAKA 
1. Stay on same posture
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
6. Do this 21 times","4. MOORCCHANA
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately Do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Hold the breath as long as you can. 
5. When you can't hold anymore, Exhale through both nostrils in a very controlled manner in 
Jaalandhara bandha itself
6. Do this 21 times",,,,,,,,,,
111,Care For Vertigo,,"1. ANDHAASANA
2. PRAKRITHI KUMBHAKA
3. KOORMA KUMBHAKA
4. AARAMBHAASANA
5. GADAA KUMBHAKA
6. VAAMAAVARTHA CHAKRA KUMBHAKA
7. DAKSHINAAVARTA CHAKRA KUMBHAKA","1. ANDHAASANA
1. Sit in a squatting position
2. Direct the knees forward
3. Bend forward
4. Lower the head in between the knees
5. Keep the elbows adjacent to the knees
6. Hold the head with your hands
7. Exhale completely through mouth 
517
8. Practice Mula Bandha– i.e., The practitioner should press with left heel between the anus and 
scrotum. And then contract the anus. 
9. Remain in this pose 30 seconds
10. Release Mulabandh","2. PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times
P.S: If you have Hypertension, Hernia or if you are Pregnant do not hold the breath","3. KOORMA KUMBHAKA
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times.","4. AARAMBHAASANA
1. Sit with the legs stretched.
2. Bend your body and catch hold of the great toes with your hands
3. Try to touch the knees with your head
4. Remain in this pose 30 seconds","5. GADAA KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath
3. Exhale through the right nostril
4. Do this 21 times","6. VAAMAAVARTHA CHAKRA KUMBHAKA
1. Inhale through left nostril
2. Hold the breath as long as you can judiciously
3. Exhale through the right nostril
4. Again inhale through left nostril
5. Hold the breath as long as you can judiciously
6. Exhale through the right nostril
7. Do this 21 times","7. DAKSHINAAVARTA CHAKRA KUMBHAKA
1. Inhale deeply and fully through the right nostril
2. Hold the breath inside as long as possible
3. When you can’t hold anymore slowly release the breath through the left nostril
4. Again inhale deeply and fully through the right nostril
5. Hold the breath inside as long as possible
6. When you can’t hold anymore slowly release the breath through the left nostril
( practise as described from points 1-6 once more. With this two rounds of Dakshinavartha 
chakrakumbhaka is completed. Then do one round of agnishoma kumbhaka as described below)
7. inhale through the right nostril
8. hold the breath
9. exhale through the left nostril
10. now inhale through the left nostril
11. hold the breath
12. exhale through the right nostril
13. Do this 21 times",,,,,,,
112,Cure For Vertigo,,"1. GORAKHAJAALI ASANA
2. PRAKRITHI KUMBHAKA
3. KOORMA KUMBHAKA
4. KAANI PAAVA ASANA
5. GADAA KUMBAKA
6. VAMAVARTHA CHAKRA KUMBHAKA
7. DAKSHINAVARTHA SHANKHA KUMBHAKA","1. GORAKHAJAALI ASANA
1. Be seated in a squatting position
2. Insert the hands in betweeen the thighs and calf muscles 
3. Interlock the fingers
4. Rest the palm on the navel
5. Fix the gaze at the tip of the nose
6. Remain in this position for 30 seconds","2. PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times
P.S: If you have Hypertension, Hernia or if you are Pregnant do not hold the breath","3. KOORMA KUMBHAKA
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times.","4. AARAMBHAASANA
1. Sit with the legs stretched.
2. Bend your body and catch hold of the great toes with your hands
3. Try to touch the knees with your head
4. Remain in this pose 30 seconds","5. GADAA KUMBHAKA
1. Inhale through both the nostrils
2. Hold the breath
3. Exhale through the right nostril
4. Do this 21 times","6. VAAMAAVARTHA CHAKRA KUMBHAKA
1. Inhale through left nostril
2. Hold the breath as long as you can judiciously
3. Exhale through the right nostril
4. Again inhale through left nostril
5. Hold the breath as long as you can judiciously
6. Exhale through the right nostril
7. Do this 21 times","7. DAKSHINAAVARTA CHAKRA KUMBHAKA
1. Inhale deeply and fully through the right nostril
2. Hold the breath inside as long as possible
3. When you can’t hold anymore slowly release the breath through the left nostril
4. Again inhale deeply and fully through the right nostril
5. Hold the breath inside as long as possible
6. When you can’t hold anymore slowly release the breath through the left nostril
( practise as described from points 1-6 once more. With this two rounds of Dakshinavartha 
chakrakumbhaka is completed. Then do one round of agnishoma kumbhaka as described below)
7. inhale through the right nostril
8. hold the breath
9. exhale through the left nostril
10. now inhale through the left nostril
11. hold the breath
12. exhale through the right nostril
13. Do this 21 times",,,,,,,
